iter	Passed	Remaining
0	152	151873
1	155	77656
2	159	53137
3	163	40697
4	166	33121
5	170	28185
6	173	24666
7	177	22009
8	180	19881
9	185	18343
10	188	16989
11	192	15828
12	195	14834
13	199	14036
14	202	13296
15	206	12717
16	209	12132
17	213	11669
18	217	11248
19	220	10824
20	224	10452
21	228	10145
22	231	9840
23	234	9527
24	236	9210
25	238	8928
26	241	8713
27	244	8470
28	246	8240
29	247	8009
30	249	7790
31	250	7583
32	252	7393
33	254	7220
34	256	7060
35	258	6921
36	260	6780
37	262	6646
38	264	6512
39	265	6377
40	267	6246
41	268	6135
42	270	6022
43	272	5916
44	273	5803
45	274	5694
46	275	5591
47	276	5489
48	277	5390
49	278	5297
50	279	5206
51	281	5123
52	282	5052
53	284	4987
54	286	4914
55	287	4839
56	288	4768
57	289	4698
58	290	4630
59	291	4564
60	292	4501
61	293	4440
62	294	4378
63	295	4324
64	297	4272
65	298	4225
66	299	4175
67	301	4127
68	302	4078
69	303	4030
70	304	3982
71	305	3935
72	306	3891
73	307	3847
74	308	3803
75	309	3763
76	310	3727
77	312	3690
78	313	3658
79	314	3621
80	316	3585
81	316	3548
82	317	3507
83	318	3471
84	319	3436
85	320	3402
86	321	3373
87	322	3342
88	323	3309
89	324	3283
90	326	3257
91	328	3243
92	329	3215
93	330	3188
94	331	3161
95	332	3133
96	333	3107
97	334	3080
98	335	3054
99	336	3028
100	337	3002
101	338	2978
102	339	2957
103	340	2936
104	342	2921
105	344	2901
106	345	2879
107	346	2857
108	346	2835
109	347	2813
110	348	2792
111	349	2771
112	350	2751
113	351	2730
114	352	2710
115	353	2692
116	354	2676
117	356	2661
118	358	2651
119	359	2634
120	360	2618
121	361	2600
122	362	2582
123	363	2565
124	363	2547
125	364	2531
126	365	2515
127	367	2500
128	368	2486
129	369	2473
130	371	2463
131	372	2450
132	373	2435
133	374	2421
134	375	2406
135	376	2391
136	377	2376
137	378	2361
138	379	2347
139	379	2334
140	380	2319
141	381	2304
142	382	2294
143	384	2283
144	386	2277
145	387	2265
146	388	2254
147	389	2241
148	390	2228
149	391	2216
150	391	2203
151	392	2192
152	393	2179
153	394	2167
154	395	2155
155	396	2144
156	402	2163
157	404	2153
158	404	2141
159	405	2129
160	406	2116
161	407	2105
162	407	2094
163	408	2083
164	409	2072
165	410	2061
166	411	2051
167	412	2043
168	414	2036
169	415	2030
170	416	2021
171	417	2011
172	419	2003
173	420	1994
174	421	1986
175	422	1977
176	423	1968
177	424	1958
178	425	1949
179	426	1944
180	428	1938
181	430	1933
182	431	1925
183	432	1918
184	433	1910
185	434	1901
186	435	1893
187	436	1885
188	437	1876
189	438	1868
190	439	1860
191	440	1853
192	442	1851
193	444	1847
194	446	1842
195	447	1837
196	449	1830
197	450	1823
198	451	1815
199	452	1808
200	453	1803
201	455	1797
202	457	1795
203	459	1791
204	461	1787
205	464	1791
206	466	1787
207	468	1783
208	472	1788
209	474	1786
210	476	1781
211	477	1775
212	478	1769
213	479	1761
214	480	1755
215	481	1748
216	482	1742
217	483	1735
218	484	1728
219	486	1723
220	487	1718
221	489	1714
222	490	1708
223	491	1701
224	491	1694
225	492	1687
226	493	1680
227	494	1674
228	495	1667
229	496	1660
230	497	1654
231	497	1648
232	498	1641
233	499	1635
234	501	1632
235	503	1629
236	504	1624
237	505	1618
238	506	1612
239	507	1606
240	508	1601
241	509	1595
242	510	1589
243	511	1583
244	511	1577
245	512	1571
246	513	1565
247	514	1561
248	515	1555
249	517	1552
250	519	1549
251	520	1543
252	521	1538
253	522	1533
254	522	1527
255	523	1522
256	524	1516
257	525	1511
258	526	1506
259	527	1501
260	528	1496
261	530	1493
262	531	1490
263	533	1486
264	534	1481
265	535	1476
266	536	1471
267	537	1467
268	538	1462
269	539	1457
270	540	1452
271	540	1447
272	541	1442
273	542	1437
274	543	1433
275	544	1429
276	546	1426
277	547	1423
278	549	1419
279	550	1414
280	551	1410
281	551	1405
282	552	1400
283	553	1395
284	554	1391
285	555	1386
286	555	1381
287	556	1376
288	558	1374
289	559	1370
290	561	1367
291	562	1364
292	563	1359
293	564	1355
294	565	1351
295	566	1346
296	567	1342
297	567	1337
298	568	1333
299	569	1329
300	570	1324
301	571	1320
302	572	1315
303	573	1312
304	575	1310
305	576	1307
306	577	1303
307	578	1299
308	579	1295
309	580	1291
310	580	1286
311	581	1282
312	582	1278
313	583	1273
314	583	1269
315	584	1265
316	585	1261
317	586	1257
318	587	1254
319	588	1250
320	589	1247
321	591	1246
322	593	1244
323	594	1240
324	595	1237
325	596	1233
326	597	1229
327	598	1226
328	599	1222
329	600	1218
330	601	1214
331	602	1212
332	604	1210
333	605	1208
334	607	1205
335	608	1201
336	608	1198
337	609	1194
338	610	1190
339	611	1186
340	612	1183
341	613	1179
342	613	1176
343	614	1172
344	615	1169
345	617	1167
346	619	1165
347	620	1162
348	621	1159
349	622	1155
350	623	1151
351	623	1148
352	624	1144
353	625	1141
354	626	1138
355	627	1134
356	627	1130
357	628	1127
358	629	1123
359	630	1120
360	631	1117
361	632	1114
362	634	1113
363	635	1110
364	636	1107
365	637	1104
366	638	1101
367	639	1098
368	640	1095
369	641	1092
370	642	1089
371	643	1085
372	643	1082
373	644	1079
374	645	1076
375	647	1074
376	648	1071
377	649	1069
378	650	1066
379	651	1062
380	652	1059
381	653	1056
382	654	1053
383	654	1050
384	655	1047
385	656	1044
386	657	1041
387	658	1037
388	658	1034
389	659	1031
390	661	1029
391	662	1028
392	664	1026
393	665	1023
394	666	1020
395	666	1017
396	667	1014
397	668	1011
398	669	1008
399	670	1005
400	671	1002
401	671	999
402	672	996
403	673	993
404	674	990
405	675	988
406	677	986
407	678	984
408	679	981
409	680	979
410	681	976
411	682	973
412	683	970
413	684	968
414	684	965
415	685	962
416	686	959
417	687	956
418	687	953
419	689	951
420	690	949
421	691	947
422	693	945
423	694	943
424	695	940
425	696	937
426	696	935
427	697	932
428	698	930
429	699	927
430	700	924
431	701	921
432	701	919
433	702	916
434	704	914
435	705	912
436	707	911
437	708	909
438	709	906
439	710	904
440	711	901
441	712	899
442	713	896
443	714	894
444	714	891
445	715	889
446	716	886
447	717	883
448	718	881
449	719	879
450	721	878
451	722	876
452	723	874
453	724	871
454	725	869
455	727	867
456	728	865
457	729	863
458	730	860
459	731	858
460	732	856
461	733	854
462	735	853
463	737	851
464	738	849
465	739	847
466	740	844
467	741	842
468	742	840
469	743	838
470	744	836
471	745	834
472	746	831
473	747	829
474	750	829
475	752	828
476	753	826
477	754	823
478	755	822
479	757	820
480	758	818
481	759	816
482	760	813
483	761	811
484	763	810
485	764	808
486	766	807
487	767	805
488	769	803
489	770	801
490	771	799
491	772	797
492	772	794
493	775	794
494	776	792
495	777	790
496	779	788
497	780	786
498	782	785
499	782	782
500	783	780
501	784	778
502	785	776
503	786	774
504	787	772
505	789	770
506	789	768
507	790	765
508	791	763
509	792	761
510	794	760
511	795	758
512	796	756
513	797	754
514	798	751
515	799	749
516	800	747
517	801	745
518	802	743
519	803	741
520	804	739
521	805	737
522	806	735
523	807	733
524	808	731
525	809	729
526	810	727
527	812	726
528	813	723
529	814	721
530	815	719
531	816	717
532	817	716
533	818	714
534	819	712
535	820	710
536	821	708
537	823	706
538	824	704
539	825	702
540	826	701
541	827	699
542	828	697
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	834	685
549	835	683
550	836	681
551	837	680
552	839	678
553	840	676
554	841	674
555	841	672
556	842	670
557	843	668
558	844	666
559	845	664
560	846	662
561	847	660
562	849	659
563	850	657
564	852	656
565	853	654
566	855	653
567	857	652
568	859	651
569	860	649
570	861	647
571	862	645
572	863	643
573	864	641
574	865	639
575	867	638
576	868	636
577	869	634
578	870	632
579	871	631
580	872	629
581	873	627
582	874	625
583	875	623
584	876	621
585	877	619
586	877	617
587	878	615
588	879	613
589	880	612
590	882	610
591	884	609
592	885	607
593	886	605
594	887	604
595	888	602
596	889	600
597	890	598
598	890	596
599	891	594
600	893	592
601	893	590
602	894	589
603	896	587
604	898	586
605	899	585
606	901	583
607	901	581
608	902	579
609	903	577
610	904	575
611	907	575
612	910	574
613	915	575
614	917	574
615	918	572
616	919	571
617	920	569
618	921	567
619	922	565
620	923	563
621	925	562
622	927	561
623	930	560
624	931	559
625	932	557
626	935	556
627	936	554
628	942	556
629	945	555
630	946	553
631	948	552
632	949	550
633	951	549
634	953	547
635	954	546
636	955	544
637	960	544
638	961	543
639	963	542
640	964	540
641	965	538
642	967	537
643	969	535
644	971	534
645	975	534
646	978	534
647	981	533
648	984	532
649	995	536
650	998	535
651	999	533
652	1003	532
653	1005	531
654	1007	530
655	1010	529
656	1012	528
657	1015	527
658	1017	526
659	1019	525
660	1021	523
661	1025	523
662	1028	522
663	1029	521
664	1033	520
665	1035	519
666	1039	518
667	1040	517
668	1042	515
669	1044	514
670	1046	513
671	1049	512
672	1050	510
673	1051	508
674	1052	506
675	1054	505
676	1055	503
677	1056	501
678	1059	500
679	1061	499
680	1063	498
681	1064	496
682	1065	494
683	1066	492
684	1068	491
685	1069	489
686	1071	488
687	1075	487
688	1080	487
689	1082	486
690	1083	484
691	1084	482
692	1085	481
693	1086	479
694	1088	477
695	1089	476
696	1090	474
697	1092	472
698	1092	470
699	1093	468
700	1095	467
701	1096	465
702	1098	464
703	1099	462
704	1100	460
705	1101	458
706	1103	457
707	1104	455
708	1107	454
709	1109	453
710	1110	451
711	1111	449
712	1112	447
713	1113	446
714	1114	444
715	1115	442
716	1118	441
717	1119	439
718	1122	438
719	1124	437
720	1125	435
721	1126	433
722	1127	431
723	1128	430
724	1129	428
725	1130	426
726	1133	425
727	1135	424
728	1139	423
729	1140	421
730	1141	420
731	1142	418
732	1143	416
733	1145	415
734	1186	427
735	1187	426
736	1189	424
737	1191	422
738	1192	421
739	1194	419
740	1198	418
741	1200	417
742	1202	415
743	1203	414
744	1205	412
745	1207	411
746	1209	409
747	1211	408
748	1215	407
749	1216	405
750	1218	403
751	1218	402
752	1220	400
753	1221	398
754	1222	396
755	1232	397
756	1234	396
757	1235	394
758	1236	392
759	1238	391
760	1244	390
761	1245	389
762	1246	387
763	1247	385
764	1248	383
765	1250	381
766	1251	380
767	1252	378
768	1253	376
769	1253	374
770	1258	373
771	1260	372
772	1261	370
773	1262	368
774	1263	366
775	1264	365
776	1266	363
777	1267	361
778	1268	359
779	1269	358
780	1271	356
781	1273	355
782	1275	353
783	1277	351
784	1277	350
785	1278	348
786	1279	346
787	1280	344
788	1281	342
789	1282	340
790	1283	339
791	1286	337
792	1287	336
793	1289	334
794	1291	332
795	1292	331
796	1293	329
797	1294	327
798	1295	325
799	1296	324
800	1297	322
801	1298	320
802	1299	318
803	1301	317
804	1303	315
805	1304	314
806	1306	312
807	1306	310
808	1308	308
809	1309	307
810	1311	305
811	1312	303
812	1313	302
813	1315	300
814	1317	299
815	1318	297
816	1320	295
817	1321	293
818	1322	292
819	1323	290
820	1324	288
821	1325	287
822	1327	285
823	1328	283
824	1330	282
825	1332	280
826	1334	279
827	1335	277
828	1335	275
829	1336	273
830	1337	272
831	1338	270
832	1339	268
833	1340	266
834	1341	265
835	1341	263
836	1342	261
837	1343	259
838	1345	258
839	1346	256
840	1348	254
841	1349	253
842	1350	251
843	1350	249
844	1351	247
845	1352	246
846	1353	244
847	1354	242
848	1354	240
849	1355	239
850	1356	237
851	1357	235
852	1358	234
853	1359	232
854	1361	230
855	1362	229
856	1363	227
857	1364	225
858	1365	224
859	1366	222
860	1367	220
861	1368	219
862	1369	217
863	1369	215
864	1371	214
865	1372	212
866	1374	210
867	1376	209
868	1378	207
869	1379	206
870	1380	204
871	1381	202
872	1382	201
873	1383	199
874	1384	197
875	1385	196
876	1385	194
877	1386	192
878	1387	191
879	1389	189
880	1390	187
881	1392	186
882	1393	184
883	1393	182
884	1394	181
885	1395	179
886	1396	177
887	1397	176
888	1398	174
889	1398	172
890	1399	171
891	1400	169
892	1401	167
893	1402	166
894	1403	164
895	1405	163
896	1406	161
897	1408	159
898	1408	158
899	1409	156
900	1410	155
901	1411	153
902	1412	151
903	1413	150
904	1414	148
905	1415	146
906	1416	145
907	1418	143
908	1420	142
909	1421	140
910	1422	138
911	1422	137
912	1423	135
913	1424	134
914	1425	132
915	1426	130
916	1427	129
917	1428	127
918	1428	125
919	1429	124
920	1430	122
921	1432	121
922	1433	119
923	1435	118
924	1436	116
925	1437	114
926	1437	113
927	1438	111
928	1439	110
929	1440	108
930	1441	106
931	1441	105
932	1442	103
933	1443	102
934	1444	100
935	1445	98
936	1446	97
937	1447	95
938	1449	94
